Phylotype	taxonomy
Propionibacterium.granulosum	Actinobacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium_Cutibacterium.granulosum
Uncultured.bacterium.UC7-11	Firmicutes_Erysipelotrichia_Erysipelotrichales_Erysipelotrichaceae_Asteroleplasma_unculturedAsteroleplasma
Aerococcus.viridans	Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Aerococcus_Aerococcus.viridans
Aneurinibacillus.aneurinolyticus	Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Aneurinibacillus_Aneurinibacillus.aneurinolyticus
Bacillus.cereus	Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_Bacillus.cereus.group
Bacillus.halodurans	Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_Bacillus.halodurans
Bacillus.subtilis	Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_Bacillus.subtilis.group
Enterococcus.avium	Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_Enterococcus.avium
Enterococcus.casseliflavus	Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_Enterococcus.casseliflavus
Enterococcus.durans	Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_Enterococcus.durans
Enterococcus.faecalis	Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_Enterococcus.faecalis
Enterococcus.faecium	Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_Enterococcus.faecium
Enterococcus.gallinarum	Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_Enterococcus.gallinarum
uncultured.bacterium.(human.infant).D8E	Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus_unculturedEnterococcus
Gemella.morbillorum	Firmicutes_Bacilli_Bacillales_FamilyXIIncertaeSedis_Gemella_Gemella.morbillorum
Uncultured.bacterium.clone.Eldhufec198	Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Granulicatella_unculturedGranulicatella
Lactobacillus.acidophilus	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.acidophilus
Lactobacillus.amylovorus	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.amylovorus
Lactobacillus.crispatus	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.crispatus
Lactobacillus.gasseri	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.gasseri
Lactobacillus.helveticus	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.helveticus
Lactobacillus.jensenii	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.jensenii
Lactobacillus.johnsonii	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.johnsonii
Lactobacillus.kalixensis	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.kalixensis
Lactobacillus.lactis	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.delbrueckii
Lactobacillus.sp..KC38	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.sp..KC38
Lactobacillus.ultunensis	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.ultunensis
uncultured.Lactobacillus.sp..LabF93	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_environmental.samples
Lactobacillus.antri	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.antri
Lactobacillus.brevis	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.brevis
Lactobacillus.buchneri	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.buchneri
Lactobacillus.casei	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.rhamnosus
Lactobacillus.fermentum	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.fermentum
Lactobacillus.gastricus	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.gastricus
Lactobacillus.mucosae	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.mucosae
Lactobacillus.oris	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.oris
Lactobacillus.paracasei	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.paracasei
Lactobacillus.plantarum	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.plantarum
Lactobacillus.reuteri	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.reuteri
Lactobacillus.rhamnosus	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.rhamnosus
Lactobacillus.vaginalis	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.vaginalis
Lactobacillus.vaginalis.KC19	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.vaginalis
uncultured.bacterium.cadhufec111c10	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_unculturedLactobacillus
uncultured.Lactobacillus.sp..LabB103	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_environmental.samples
uncultured.Pediococcus.sp..NS1A12	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Pediococcus_environmental.samples
Lactobacillus.ruminis	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.ruminis
Lactobacillus.salivarius	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.salivarius
Lactobacillus.salivarius.subsp..salicinius	Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillus.salivarius
Lactococcus.lactis	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Lactococcus_Lactococcus.lactis
Lactococcus.lactis.subsp..cremoris	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Lactococcus_Lactococcus.lactis
Lactococcus.sp..451	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Lactococcus_Lactococcus.sp..451
Staphylococcus.aureus	Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus_Staphylococcus.aureus
Staphylococcus.epidermidis	Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus_Staphylococcus.epidermidis
Streptococcus.agalactiae	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.agalactiae
Streptococcus.bovis	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.equinus
Streptococcus.equi.subsp..zooepidemicus	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.dysgalactiae.group
Streptococcus.equinus	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.equinus
Streptococcus.equisimilis	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.dysgalactiae.group
Streptococcus.infantarius.subsp..coli	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.lutetiensis
Streptococcus.pyogenes	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.pyogenes
Streptococcus.salivarius	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.thermophilus
Streptococcus.sp..CB1	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.sp..CB1
Streptococcus.thermophilus	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.thermophilus
Streptococcus.uberis	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.uberis
uncultured.bacterium.OLDA-B7	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_unculturedStreptococcus
Streptococcus.constellatus	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.anginosus.group
Streptococcus.intermedius	Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus.anginosus.group
